,Random Forest,XGBoost,Gradient Boosting
ndvi,0.3073857402631219,0.18250105,0.3057430081731571
lai,0.24852505073617867,0.64577883,0.3705888674566873
ndre,0.23575770025741336,0.13347636,0.3018013301657911
evi,0.11147618501128057,0.013932678,0.019211840441369282
ndvi_max,0.04148365428096118,0.0021346754,0.00022332573284178077
ndwi,0.040419349883414356,0.004763495,0.001222273741078111
bsi,0.0058583422403856245,0.0076690707,0.0002534945282434188
ndvi_min,0.004979523334234976,0.0049798726,0.0008675809475987916
ndvi_std,0.004114453993009285,0.0047639334,8.827881323308534e-05
